serious_assault_result_injury, dang_negli_acts, assault_police, prop_dam_by_fire_expl, POSTCODE, theft_from_motor_veh, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, murder, other_acts_intend_cause_injury, serious_assault_not_result_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_hom_rel_offences, other_fraud_decep_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
0,0,0,0,"5242",0,0,0,0,1695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",3,0,1,0,1
0,0,0,0,"5244",1,0,0,0,1712,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Apr 2019",4,0,0,0,1
0,0,0,0,"5245",1,0,0,0,1724,0,2,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",13,0,7,0,2
0,0,0,0,"5250",0,0,0,0,1736,1,0,0,1,0,0,0,0,1,1,0,0,0,1,"Apr 2019",6,0,1,0,0
1,0,2,1,"5251",2,0,1,1,1748,3,3,2,2,0,0,0,5,1,0,0,1,0,1,"Apr 2019",45,0,13,0,6
1,0,0,1,"5252",0,0,0,0,1760,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",5,0,0,0,2
0,1,0,1,"5018",5,0,0,0,177,0,3,0,5,0,0,0,0,0,0,2,1,0,0,"Apr 2019",25,0,3,0,4
1,3,0,3,"5253",11,0,1,0,1772,1,10,8,10,0,0,0,12,1,11,7,1,0,1,"Apr 2019",129,7,22,0,19
0,1,0,0,"5254",0,0,0,0,1784,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Apr 2019",3,0,1,0,0
0,0,0,1,"5255",1,0,0,0,1796,0,2,0,1,0,0,0,2,2,1,1,0,0,0,"Apr 2019",21,3,4,0,3
0,0,0,0,"5256",1,0,0,0,1808,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"Apr 2019",6,0,1,0,1
0,0,0,1,"5259",0,0,0,0,1818,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"Apr 2019",6,0,1,0,1
0,0,1,0,"5260",1,0,0,0,1830,0,2,0,0,0,0,0,3,1,0,1,0,0,0,"Apr 2019",17,3,4,0,1
0,0,0,0,"5262",0,0,0,0,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5264",4,0,0,0,1856,0,0,0,0,0,0,0,0,1,2,0,0,0,0,"Apr 2019",10,1,0,0,2
0,0,0,0,"5265",0,0,0,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",4,3,1,0,0
0,0,1,0,"5266",0,0,0,0,1875,0,0,0,0,0,0,0,1,0,1,1,1,0,0,"Apr 2019",5,0,0,0,0
0,0,0,0,"5267",0,0,0,0,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Apr 2019",3,0,0,0,1
