SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"PENNINGTON",0,1,0,0,5,1,"5013",0,0,0,205,0,0,0,0,1,0,501303,0,2,0,0,0,0,1,0,0,0,"Feb 2020",23,1,6,0,5
"JOSLIN",0,0,0,0,1,0,"5070",0,0,0,2054,0,0,1,0,0,0,507004,0,0,0,0,0,0,0,0,0,0,"Feb 2020",2,0,0,0,0
"MARDEN",0,0,0,0,2,0,"5070",0,0,0,2066,0,1,2,0,3,0,507005,0,3,0,0,0,2,1,0,0,0,"Feb 2020",24,2,4,0,4
"PAYNEHAM",0,0,0,0,1,0,"5070",0,0,0,2078,0,0,3,0,0,0,507006,0,1,0,0,1,0,2,0,1,0,"Feb 2020",11,0,2,0,0
"PAYNEHAM SOUTH",0,0,0,0,0,0,"5070",0,0,0,2089,0,0,1,0,0,0,507007,0,0,0,0,0,0,0,0,0,0,"Feb 2020",4,0,0,0,3
"ROYSTON PARK",0,0,0,0,0,0,"5070",0,0,0,2100,0,0,1,0,0,0,507008,0,0,0,0,1,1,0,0,0,0,"Feb 2020",3,0,0,0,0
"AULDANA",0,0,0,0,1,0,"5072",0,0,0,2108,0,0,0,0,0,0,507201,0,0,0,0,0,0,0,0,0,0,"Feb 2020",7,3,2,0,1
"MAGILL",0,1,0,0,4,0,"5072",0,0,0,2119,0,0,1,0,0,1,507202,0,1,0,0,1,2,0,3,0,0,"Feb 2020",18,0,3,0,1
"ROSSLYN PARK",0,0,0,0,0,0,"5072",0,0,0,2129,0,0,0,0,0,0,507203,0,0,0,0,0,0,0,0,0,0,"Feb 2020",3,0,2,0,1
"EVANDALE",0,0,0,0,0,0,"5069",0,0,0,2141,0,0,1,0,1,0,506902,0,0,0,0,0,0,0,0,0,0,"Feb 2020",11,0,9,0,0
"HACKNEY",0,0,0,0,1,0,"5069",0,1,0,2153,0,0,2,0,0,0,506903,0,0,0,0,0,0,1,0,1,0,"Feb 2020",8,0,1,0,1
"MAYLANDS",0,0,0,0,1,0,"5069",0,0,0,2165,0,0,0,0,0,0,506904,0,0,0,0,0,0,0,0,0,0,"Feb 2020",3,1,1,0,0
"ROSEWATER",0,1,0,0,5,0,"5013",0,1,0,217,0,0,6,2,4,0,501304,0,2,0,0,0,2,5,0,0,0,"Feb 2020",51,4,13,0,6
"ST PETERS",0,1,0,0,0,0,"5069",0,0,0,2177,0,0,1,0,2,0,506906,0,0,0,0,0,1,0,0,0,0,"Feb 2020",11,0,5,0,1
"STEPNEY",0,0,1,0,1,0,"5069",0,0,0,2189,0,0,0,0,1,0,506905,0,0,0,0,1,0,0,0,0,0,"Feb 2020",12,1,5,0,2
"FELIXSTOW",0,0,0,0,2,0,"5070",0,0,0,2201,0,0,0,0,0,0,507001,0,1,0,0,1,1,1,0,2,0,"Feb 2020",14,0,4,0,2
"FIRLE",0,0,0,0,2,0,"5070",0,0,0,2213,0,0,1,0,0,0,507002,0,0,0,0,0,1,0,0,0,0,"Feb 2020",8,0,3,0,1
"GLYNDE",0,0,0,0,0,0,"5070",0,2,0,2225,0,0,1,0,0,0,507003,0,0,0,0,0,0,0,0,0,0,"Feb 2020",4,0,1,0,0
"MITCHAM",0,0,0,0,1,0,"5062",0,0,0,2237,0,0,3,0,0,1,506207,0,1,0,0,0,0,0,1,0,0,"Feb 2020",8,1,0,0,0
"NETHERBY",0,0,0,0,0,0,"5062",0,0,0,2248,0,0,0,0,0,0,506208,0,0,0,0,0,0,0,0,0,0,"Feb 2020",2,1,0,0,1
"SPRINGFIELD",0,1,0,0,0,0,"5062",0,0,0,2256,0,0,0,0,0,0,506209,0,0,0,0,0,0,0,0,0,0,"Feb 2020",1,0,0,0,0
"TORRENS PARK",0,0,0,0,0,0,"5062",0,0,0,2267,0,1,0,0,2,0,506210,0,0,0,0,0,0,0,0,0,0,"Feb 2020",5,0,1,0,1
"EASTWOOD",0,0,0,0,4,0,"5063",0,0,0,2279,0,0,1,0,0,0,506301,0,1,0,0,0,1,0,0,0,0,"Feb 2020",13,1,4,0,1
"WINGFIELD",0,0,0,0,3,2,"5013",0,0,0,229,0,0,0,0,2,0,501305,0,0,0,1,0,1,1,0,0,0,"Feb 2020",23,0,11,0,2
"FREWVILLE",0,1,0,0,0,0,"5063",0,0,0,2292,0,0,0,0,3,0,506302,0,1,0,0,0,0,0,0,0,0,"Feb 2020",6,0,0,0,1
"FULLARTON",0,0,0,0,1,0,"5063",0,0,0,2304,0,0,1,0,0,0,506303,0,1,0,0,0,2,1,2,0,0,"Feb 2020",23,2,10,0,3
"HIGHGATE",0,0,0,0,0,0,"5063",0,0,0,2314,0,0,1,0,0,0,506304,0,0,0,0,0,0,0,0,0,0,"Feb 2020",1,0,0,0,0
"PARKSIDE",0,4,0,1,8,0,"5063",0,1,0,2326,0,0,1,0,0,0,506305,0,0,0,0,1,3,2,0,1,0,"Feb 2020",34,1,6,0,5
"GLEN OSMOND",0,0,0,0,3,0,"5064",0,0,0,2338,0,0,1,0,0,0,506401,0,0,0,0,0,1,0,0,0,0,"Feb 2020",17,1,9,0,2
"GLENUNGA",0,0,0,0,0,0,"5064",0,0,0,2350,0,0,3,0,3,0,506402,0,0,0,0,0,0,0,0,0,0,"Feb 2020",13,0,6,0,1
"MYRTLE BANK",0,0,0,0,3,0,"5064",0,0,0,2364,0,0,2,0,0,0,506404,0,0,0,0,0,0,0,0,0,0,"Feb 2020",8,0,0,0,3
"ST GEORGES",0,0,0,0,2,0,"5064",0,0,0,2372,0,0,3,0,0,0,506405,0,0,0,0,0,1,0,0,0,0,"Feb 2020",6,0,0,0,0
"URRBRAE",0,0,0,0,0,0,"5064",0,0,0,2380,0,0,0,0,0,0,506406,0,0,0,0,0,0,0,0,0,0,"Feb 2020",1,0,1,0,0
"DULWICH",0,0,0,0,0,0,"5065",0,0,0,2392,0,0,1,0,0,0,506501,0,0,0,0,0,0,1,0,0,0,"Feb 2020",4,0,0,0,2
"ADELAIDE",0,27,6,1,36,2,"5000",0,14,2,24,0,5,8,26,129,4,500001,0,71,0,3,19,21,15,1,6,0,"Feb 2020",668,10,174,2,86
"GLENSIDE",0,0,0,0,3,0,"5065",0,0,0,2404,0,0,0,1,2,0,506502,0,3,0,0,0,0,1,0,0,0,"Feb 2020",15,1,3,0,1
"LINDEN PARK",0,0,0,0,0,0,"5065",0,0,0,2416,0,1,0,0,0,0,506503,0,0,0,0,0,0,1,0,0,0,"Feb 2020",5,0,3,0,0
"ALBERT PARK",0,2,0,0,3,0,"5014",0,0,0,242,0,0,1,0,0,0,501402,0,3,0,0,0,0,0,1,0,0,"Feb 2020",12,0,1,0,1
"TOORAK GARDENS",0,0,0,0,0,0,"5065",0,0,0,2428,0,0,1,0,0,0,506504,0,0,0,0,0,0,0,0,0,0,"Feb 2020",3,0,1,0,1
"TUSMORE",0,1,0,0,0,0,"5065",0,0,0,2437,0,0,1,1,0,0,506505,0,0,0,0,0,1,0,0,0,0,"Feb 2020",5,1,0,0,0
"BEAUMONT",0,0,0,0,0,0,"5066",0,0,0,2447,0,0,0,0,0,0,506601,0,0,0,0,0,0,0,0,0,0,"Feb 2020",1,0,1,0,0
"BURNSIDE",0,0,0,0,2,0,"5066",0,0,0,2458,0,0,0,0,0,0,506602,0,0,0,0,0,0,0,0,0,0,"Feb 2020",2,0,0,0,0
"ERINDALE",0,0,0,0,0,0,"5066",0,0,0,2468,0,0,1,0,0,0,506603,0,0,0,0,0,0,0,0,0,0,"Feb 2020",6,0,3,0,2
"HAZELWOOD PARK",0,1,0,0,2,0,"5066",0,0,1,2480,0,0,1,0,0,0,506604,0,0,0,0,0,1,0,0,0,0,"Feb 2020",9,1,1,0,1
