SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"KENSINGTON GARDENS",0,0,0,0,0,0,"5068",0,0,0,1974,0,0,0,0,0,0,506803,0,0,0,0,0,0,0,0,0,0,"Jun 2020",4,0,1,0,3
"KENSINGTON PARK",0,1,1,0,0,0,"5068",0,0,0,1986,0,0,0,0,0,0,506804,0,0,0,0,0,1,1,0,0,0,"Jun 2020",15,1,7,0,3
"LEABROOK",0,0,0,0,1,0,"5068",0,0,0,1998,0,0,0,0,0,0,506805,0,0,0,0,0,0,0,0,0,0,"Jun 2020",1,0,0,0,0
"ADELAIDE",0,16,2,2,19,2,"5000",1,18,3,20,0,12,6,13,84,2,500001,0,38,0,4,6,14,13,3,6,0,"Jun 2020",430,12,91,1,62
"MARRYATVILLE",0,0,0,0,0,0,"5068",0,0,0,2009,0,0,0,0,0,0,506806,0,0,0,0,0,0,0,0,0,0,"Jun 2020",1,0,1,0,0
"PENNINGTON",0,1,2,0,2,0,"5013",0,0,0,201,0,0,3,3,1,0,501303,0,2,0,1,0,0,0,0,0,0,"Jun 2020",26,2,7,0,2
"ST MORRIS",0,0,0,0,1,0,"5068",0,0,1,2021,0,0,0,0,0,0,506807,0,0,0,0,1,0,0,0,0,0,"Jun 2020",5,0,1,0,1
"TRINITY GARDENS",0,0,0,0,0,0,"5068",0,0,0,2032,0,0,1,0,0,0,506808,0,0,0,0,0,0,0,0,0,0,"Jun 2020",6,1,2,0,2
"COLLEGE PARK",0,0,0,0,2,0,"5069",0,0,0,2042,0,0,0,0,0,0,506901,0,0,0,0,0,0,0,0,0,0,"Jun 2020",2,0,0,0,0
"JOSLIN",0,0,0,0,0,0,"5070",0,0,0,2052,0,0,0,0,0,0,507004,0,0,0,0,0,0,0,0,0,0,"Jun 2020",1,0,0,0,1
"MARDEN",0,1,0,0,0,0,"5070",0,0,0,2062,0,0,0,0,0,0,507005,0,0,0,0,0,0,0,0,0,0,"Jun 2020",4,0,1,0,2
"PAYNEHAM",0,0,0,0,3,0,"5070",0,0,0,2074,0,1,0,0,0,0,507006,0,1,0,0,0,0,1,0,0,0,"Jun 2020",9,1,1,0,1
