SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"MORPHETTVILLE",0,0,0,0,4,0,"5043",0,1,0,1628,0,1,1,0,1,0,504304,0,6,0,0,0,0,0,0,0,0,"Apr 2020",23,1,5,0,3
"PARK HOLME",0,0,0,0,2,1,"5043",0,0,0,1640,0,0,2,0,1,0,504305,0,1,0,0,0,0,0,0,0,0,"Apr 2020",14,0,2,0,5
"GLENGOWRIE",0,0,0,0,2,0,"5044",0,1,0,1652,0,0,1,1,0,0,504401,0,2,0,0,0,1,0,0,0,0,"Apr 2020",15,1,5,0,1
"SOMERTON PARK",0,0,0,0,2,0,"5044",1,0,0,1664,0,1,1,1,0,0,504402,0,1,0,0,2,5,0,0,0,0,"Apr 2020",25,1,5,0,5
"BEVERLEY",0,0,0,0,2,1,"5009",0,0,0,167,0,0,0,0,0,0,500902,0,1,0,0,0,1,2,0,0,0,"Apr 2020",10,1,1,0,1
"GLENELG",0,0,0,0,2,0,"5045",0,0,0,1676,0,0,2,0,9,0,504501,0,3,0,0,2,1,2,2,0,0,"Apr 2020",45,3,15,0,4
"GLENELG EAST",0,0,0,0,0,1,"5045",0,0,0,1688,0,0,1,0,2,0,504502,0,0,0,0,0,1,0,0,0,0,"Apr 2020",12,0,5,0,2
"GLENELG NORTH",0,0,0,0,2,0,"5045",0,0,0,1700,0,0,1,0,5,0,504503,0,5,0,0,3,1,0,0,0,0,"Apr 2020",26,1,7,0,1
"SOUTH BRIGHTON",0,0,0,0,4,0,"5048",0,0,0,1713,0,0,0,0,0,0,504805,0,1,0,0,0,0,1,0,0,0,"Apr 2020",11,0,1,2,2
"KINGSTON PARK",0,0,0,0,1,0,"5049",0,0,0,1722,0,0,0,0,0,0,504901,0,0,0,0,0,0,0,1,0,0,"Apr 2020",2,0,0,0,0
"MARINO",0,0,0,0,3,0,"5049",0,0,0,1733,0,0,0,0,0,0,504902,0,0,0,0,0,0,0,0,0,0,"Apr 2020",4,1,0,0,0
"SEACLIFF",0,0,0,0,4,0,"5049",0,0,0,1745,0,0,0,0,0,0,504903,0,0,0,0,1,1,0,0,0,0,"Apr 2020",12,0,0,0,6
"SEACLIFF PARK",0,0,0,0,0,0,"5049",0,0,0,1757,0,0,1,0,1,0,504904,0,0,0,0,0,1,0,0,0,0,"Apr 2020",7,0,2,0,2
"SEAVIEW DOWNS",0,0,0,0,1,0,"5049",0,0,0,1769,0,0,0,0,4,0,504905,0,1,0,1,0,1,0,1,0,0,"Apr 2020",15,3,2,0,1
"BELLEVUE HEIGHTS",0,0,0,0,0,0,"5050",0,0,0,1781,0,0,0,0,0,0,505001,0,0,0,0,0,0,0,0,0,0,"Apr 2020",1,0,1,0,0
"KILKENNY",0,0,1,0,0,0,"5009",0,0,0,179,0,0,0,1,4,0,500903,0,0,0,1,0,0,0,0,1,0,"Apr 2020",15,0,6,0,1
"EDEN HILLS",0,0,0,0,0,0,"5050",0,0,0,1792,0,0,0,0,1,0,505003,0,1,0,0,0,0,0,0,0,0,"Apr 2020",5,0,1,0,2
"BLACKWOOD",0,0,0,0,2,0,"5051",0,0,0,1804,0,1,0,0,1,0,505101,0,1,0,0,0,3,0,0,0,0,"Apr 2020",11,0,3,0,0
"COROMANDEL VALLEY",0,0,0,0,0,0,"5051",0,0,0,1814,0,0,0,0,0,0,505102,0,0,0,0,0,1,0,0,0,0,"Apr 2020",1,0,0,0,0
"CRAIGBURN FARM",0,0,0,0,0,0,"5051",0,0,0,1826,0,0,0,0,0,0,505104,0,3,0,0,0,0,0,0,0,0,"Apr 2020",5,0,1,0,1
"HAWTHORNDENE",0,0,0,0,1,0,"5051",0,0,0,1834,0,0,0,0,0,0,505103,0,0,0,0,0,0,0,0,0,0,"Apr 2020",2,0,1,0,0
"BELAIR",0,0,0,0,0,0,"5052",0,0,0,1846,0,4,0,0,1,0,505201,0,0,0,0,0,0,0,0,0,0,"Apr 2020",9,0,4,0,0
"HYDE PARK",0,0,0,0,0,0,"5061",0,0,0,1869,0,0,1,0,0,0,506101,0,0,0,0,0,0,1,0,0,0,"Apr 2020",4,1,1,0,0
"NEWTON",0,0,0,0,0,0,"5074",0,0,0,1881,0,0,1,0,4,0,507402,0,0,0,0,0,2,1,0,0,0,"Apr 2020",17,1,6,0,2
"DERNANCOURT",0,0,0,0,0,0,"5075",0,0,0,1893,0,0,0,0,0,0,507501,0,1,0,0,0,0,0,0,0,0,"Apr 2020",6,0,5,0,0
"PARADISE",0,0,0,0,1,1,"5075",0,0,0,1905,0,0,2,0,0,0,507502,0,1,0,0,0,1,0,0,0,0,"Apr 2020",9,0,2,0,1
"OTTOWAY",0,1,0,0,4,0,"5013",0,0,0,191,0,1,0,1,1,0,501302,0,1,0,0,0,0,0,0,0,0,"Apr 2020",16,0,4,0,3
"ATHELSTONE",0,0,0,0,1,0,"5076",0,0,0,1917,0,0,0,0,0,0,507601,0,2,0,0,1,0,1,0,0,0,"Apr 2020",10,1,2,0,2
"LOWER MITCHAM",0,0,0,0,1,0,"5062",0,0,0,1929,0,0,0,0,0,0,506205,0,1,0,0,1,0,0,0,0,0,"Apr 2020",5,0,2,0,0
"ROSE PARK",0,0,0,0,0,0,"5067",0,0,0,1945,0,0,0,0,1,0,506704,0,1,0,0,0,0,0,0,0,0,"Apr 2020",4,0,0,0,2
"HEATHPOOL",0,0,0,0,1,0,"5068",0,0,0,1954,0,0,0,0,0,0,506801,0,0,0,0,0,0,0,0,0,0,"Apr 2020",1,0,0,0,0
"KENSINGTON",0,0,0,0,1,0,"5068",0,0,0,1965,0,1,0,0,1,0,506802,0,0,0,0,0,0,0,0,0,0,"Apr 2020",6,0,2,0,1
"KENSINGTON GARDENS",0,0,0,0,0,0,"5068",0,0,0,1976,0,0,0,0,0,0,506803,0,0,0,0,0,0,0,0,0,0,"Apr 2020",1,0,1,0,0
"KENSINGTON PARK",0,0,0,0,3,0,"5068",0,1,0,1988,0,0,1,0,0,0,506804,0,0,0,0,0,0,1,0,0,1,"Apr 2020",8,0,1,0,0
"LEABROOK",0,0,0,0,0,0,"5068",0,0,0,2000,0,0,1,0,0,0,506805,0,0,0,0,0,0,0,0,0,0,"Apr 2020",2,0,0,0,1
"MARRYATVILLE",0,0,0,0,0,0,"5068",0,0,0,2011,0,0,0,0,0,0,506806,0,0,0,0,0,0,0,0,0,0,"Apr 2020",2,0,2,0,0
"ST MORRIS",0,0,0,0,0,0,"5068",0,0,0,2023,0,0,0,0,0,0,506807,0,1,0,0,0,0,0,0,0,0,"Apr 2020",2,0,1,0,0
"PENNINGTON",0,1,0,0,2,0,"5013",0,2,0,203,0,0,0,0,2,0,501303,0,3,0,0,0,2,1,0,0,0,"Apr 2020",25,0,6,0,6
"TRINITY GARDENS",0,0,0,0,0,0,"5068",0,0,0,2034,0,0,0,0,1,0,506808,0,0,0,0,0,0,0,0,0,0,"Apr 2020",3,0,2,0,0
"COLLEGE PARK",0,0,0,0,0,0,"5069",0,0,0,2043,0,0,0,0,0,0,506901,0,0,0,0,0,3,0,0,0,0,"Apr 2020",6,0,3,0,0
"MARDEN",0,0,0,0,2,0,"5070",0,1,0,2064,0,1,0,0,3,0,507005,0,0,0,0,1,0,1,0,0,0,"Apr 2020",9,0,0,0,0
"PAYNEHAM",0,0,0,0,0,0,"5070",0,0,0,2076,0,0,1,0,0,0,507006,0,1,0,0,0,1,0,0,0,0,"Apr 2020",3,0,0,0,0
"PAYNEHAM SOUTH",0,0,0,0,0,0,"5070",0,0,0,2087,0,0,0,0,0,0,507007,0,1,0,0,0,0,0,0,0,0,"Apr 2020",3,0,1,0,1
"ROYSTON PARK",0,0,0,0,1,0,"5070",0,0,0,2098,0,0,0,0,0,0,507008,0,0,0,0,0,0,0,0,0,0,"Apr 2020",5,0,3,0,1
"AULDANA",0,0,0,0,0,0,"5072",0,0,0,2106,0,0,0,0,0,0,507201,0,0,0,0,0,0,0,0,0,0,"Apr 2020",1,0,0,0,1
"MAGILL",0,0,0,0,1,0,"5072",0,0,0,2117,0,0,0,0,0,0,507202,0,1,0,0,1,0,0,0,0,0,"Apr 2020",8,0,2,0,3
"EVANDALE",0,0,0,0,0,0,"5069",0,0,0,2139,0,0,0,0,0,0,506902,0,0,0,0,0,0,0,0,0,0,"Apr 2020",3,0,3,0,0
"ROSEWATER",0,4,0,0,6,0,"5013",0,1,0,215,0,0,3,0,5,0,501304,0,9,0,0,0,5,0,0,0,0,"Apr 2020",51,2,12,0,4
"HACKNEY",0,0,0,0,0,0,"5069",0,0,0,2151,0,1,0,0,0,0,506903,0,0,0,0,0,0,0,0,0,0,"Apr 2020",2,0,0,0,1
"MAYLANDS",0,0,0,0,1,0,"5069",0,0,0,2163,0,0,0,0,0,0,506904,0,0,0,0,0,4,0,0,0,0,"Apr 2020",8,1,2,0,0
