SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"DOVER GARDENS",0,3,0,0,0,0,"5048",0,0,0,1534,0,1,0,2,0,0,504802,0,1,0,0,0,0,0,0,0,0,"Mar 2020",8,0,1,0,0
"HOVE",0,0,0,0,3,0,"5048",0,0,0,1546,0,1,0,0,0,0,504803,0,3,0,0,0,2,0,0,0,0,"Mar 2020",12,0,2,0,1
"NORTH BRIGHTON",0,1,0,0,5,0,"5048",0,0,0,1558,0,0,1,0,0,0,504804,0,1,0,0,0,0,1,0,0,0,"Mar 2020",19,0,7,0,3
"ALLENBY GARDENS",0,0,0,0,0,0,"5009",0,1,0,156,0,0,0,0,0,0,500901,0,0,0,0,0,0,0,0,0,0,"Mar 2020",2,0,1,0,0
"KESWICK TERMINAL",0,0,0,0,0,0,"5035",0,0,0,1569,0,0,0,0,0,0,503506,0,0,0,0,0,0,0,0,0,0,"Mar 2020",1,0,1,0,0
"GLANDORE",0,0,0,0,0,0,"5037",0,0,0,1581,0,0,1,1,0,0,503701,0,2,0,0,0,1,1,0,0,0,"Mar 2020",11,0,1,0,4
"KURRALTA PARK",0,0,0,0,3,0,"5037",0,0,0,1593,0,0,1,0,1,0,503702,0,0,0,0,1,0,2,0,0,0,"Mar 2020",15,0,5,0,2
"NETLEY",0,0,0,0,0,0,"5037",0,1,0,1604,0,0,0,0,0,0,503703,0,0,0,0,0,0,0,0,0,0,"Mar 2020",1,0,0,0,0
"MITCHELL PARK",0,1,0,0,3,0,"5043",0,0,1,1616,0,1,3,0,2,0,504303,0,3,0,0,3,1,0,0,0,0,"Mar 2020",26,0,7,0,1
"MORPHETTVILLE",0,0,0,0,3,0,"5043",0,0,0,1629,0,0,0,0,2,0,504304,0,2,0,0,0,0,0,0,0,0,"Mar 2020",18,1,6,0,4
"PARK HOLME",0,0,0,0,2,0,"5043",0,0,0,1641,0,0,1,0,0,0,504305,0,1,0,0,0,0,2,0,0,0,"Mar 2020",20,0,12,0,2
"GLENGOWRIE",0,0,0,0,0,0,"5044",0,0,0,1653,0,1,0,0,3,0,504401,0,0,0,0,0,2,0,0,0,0,"Mar 2020",14,1,7,0,0
"SOMERTON PARK",0,1,0,0,1,0,"5044",0,0,0,1665,0,1,1,0,0,0,504402,0,0,0,0,0,1,0,0,0,0,"Mar 2020",12,0,6,0,1
"GLENELG",0,0,1,0,2,0,"5045",0,1,0,1677,0,0,1,2,6,0,504501,0,3,0,0,2,5,1,1,0,0,"Mar 2020",44,1,14,0,4
"BEVERLEY",0,0,0,0,1,0,"5009",0,0,0,168,0,0,0,0,0,1,500902,0,0,0,0,0,0,2,0,0,0,"Mar 2020",5,0,0,0,1
"GLENELG EAST",0,0,0,0,2,0,"5045",0,1,0,1689,0,0,1,0,2,0,504502,0,0,0,0,0,0,1,0,0,0,"Mar 2020",19,0,9,0,3
"GLENELG NORTH",0,1,0,0,6,1,"5045",0,0,0,1701,0,0,5,0,0,0,504503,0,1,0,0,0,2,0,0,0,0,"Mar 2020",25,0,8,0,1
"SOUTH BRIGHTON",0,0,0,0,1,0,"5048",0,1,0,1714,0,1,1,0,0,0,504805,0,1,0,0,0,0,0,0,0,0,"Mar 2020",6,0,0,0,1
"KINGSTON PARK",0,0,0,0,0,0,"5049",0,0,0,1723,0,0,0,0,0,0,504901,0,0,0,0,0,0,0,0,0,0,"Mar 2020",3,0,2,0,1
"MARINO",0,0,0,0,3,0,"5049",0,0,0,1734,0,0,0,0,0,0,504902,0,0,0,0,1,0,0,0,0,0,"Mar 2020",4,0,0,0,0
"SEACLIFF",0,1,0,0,0,0,"5049",0,0,0,1746,0,1,0,0,0,0,504903,0,1,0,0,0,0,0,0,0,0,"Mar 2020",4,0,1,0,0
"SEACLIFF PARK",0,0,0,0,0,0,"5049",0,0,0,1758,0,0,0,0,2,0,504904,0,0,0,0,0,1,0,0,0,0,"Mar 2020",4,0,1,0,0
"SEAVIEW DOWNS",0,0,0,0,2,0,"5049",0,0,0,1770,0,0,0,0,3,0,504905,0,1,0,0,0,0,0,0,1,0,"Mar 2020",11,0,4,0,0
"EDEN HILLS",0,0,0,0,0,0,"5050",0,0,0,1793,0,1,0,0,0,0,505003,0,0,0,0,0,0,0,0,0,0,"Mar 2020",5,0,3,0,1
"KILKENNY",0,0,0,0,3,0,"5009",0,0,0,180,0,0,1,0,1,0,500903,0,2,0,0,1,0,1,0,1,0,"Mar 2020",19,0,4,0,5
"BLACKWOOD",0,0,0,0,1,0,"5051",0,0,0,1805,0,0,0,0,2,0,505101,0,0,0,0,0,16,1,0,0,0,"Mar 2020",25,0,4,0,1
