SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"GLENGOWRIE",0,0,0,0,2,0,"5044",0,0,0,1645,0,0,0,0,1,0,504401,0,1,0,0,0,0,1,0,0,0,"Nov 2019",12,0,6,0,1
"SOMERTON PARK",0,1,0,0,0,0,"5044",0,0,0,1657,0,0,0,1,0,0,504402,0,4,0,0,0,2,0,0,0,0,"Nov 2019",16,1,4,0,3
"GLENELG",0,0,0,0,3,0,"5045",0,1,0,1669,0,0,2,2,6,0,504501,0,3,0,0,1,1,1,0,1,0,"Nov 2019",42,0,15,0,6
"GLENELG EAST",0,0,0,1,5,1,"5045",0,0,0,1681,0,0,0,2,1,1,504502,0,0,0,0,0,4,1,0,0,0,"Nov 2019",25,0,5,0,4
"GLENELG NORTH",0,1,0,0,3,0,"5045",0,0,0,1693,0,0,3,1,2,0,504503,0,3,0,0,0,0,3,0,0,0,"Nov 2019",31,3,6,0,6
"SOUTH BRIGHTON",0,0,0,0,2,0,"5048",0,0,0,1706,0,1,1,1,0,0,504805,0,1,0,0,0,0,0,0,0,0,"Nov 2019",10,0,3,0,1
"KINGSTON PARK",0,0,0,0,1,0,"5049",0,0,0,1718,0,0,0,0,0,0,504901,0,0,0,0,0,0,0,0,0,0,"Nov 2019",3,0,1,0,1
"KILKENNY",0,1,0,0,1,1,"5009",0,1,0,172,0,0,1,0,15,0,500903,0,2,0,0,0,3,0,0,0,0,"Nov 2019",29,1,3,0,0
"MARINO",0,0,0,0,0,0,"5049",0,0,0,1727,0,0,2,0,0,0,504902,0,0,0,1,0,0,1,0,0,0,"Nov 2019",6,0,1,0,1
"SEACLIFF",0,0,0,0,0,0,"5049",0,0,0,1738,0,2,0,0,0,0,504903,0,0,0,0,1,0,0,0,0,0,"Nov 2019",4,0,1,0,0
"SEACLIFF PARK",0,1,0,0,2,0,"5049",0,0,0,1750,0,1,1,1,0,0,504904,0,0,0,1,0,0,0,0,0,0,"Nov 2019",10,0,2,0,1
"SEAVIEW DOWNS",0,0,0,0,2,0,"5049",0,0,0,1762,0,0,1,0,3,1,504905,0,0,0,0,0,0,0,0,0,0,"Nov 2019",19,1,8,0,3
"BELLEVUE HEIGHTS",0,0,0,0,0,0,"5050",0,0,0,1774,0,1,0,1,0,0,505001,0,1,0,0,0,0,0,0,0,0,"Nov 2019",5,0,0,0,2
"EDEN HILLS",0,0,0,0,0,0,"5050",0,0,0,1785,0,2,0,0,0,0,505003,0,2,0,0,0,0,0,0,0,0,"Nov 2019",5,0,1,0,0
"BLACKWOOD",0,0,0,0,3,0,"5051",0,0,0,1797,0,1,1,0,0,0,505101,0,1,0,0,1,1,1,0,0,0,"Nov 2019",11,0,1,0,1
"COROMANDEL VALLEY",0,0,0,0,1,1,"5051",0,0,0,1809,0,0,0,0,0,0,505102,0,0,0,1,0,1,0,0,0,0,"Nov 2019",5,0,1,0,0
"CRAIGBURN FARM",0,0,0,0,0,0,"5051",0,0,0,1819,0,0,0,1,0,0,505104,0,0,0,0,1,0,0,0,0,0,"Nov 2019",3,0,1,0,0
"HAWTHORNDENE",0,0,0,0,0,0,"5051",0,0,0,1830,0,0,0,0,0,0,505103,0,0,0,0,0,0,0,0,0,0,"Nov 2019",2,0,0,0,2
"BELAIR",0,0,0,0,0,0,"5052",0,0,1,1839,0,2,0,0,0,0,505201,0,1,0,0,0,1,0,0,0,0,"Nov 2019",9,0,3,0,1
"OTTOWAY",0,3,0,1,4,0,"5013",0,0,0,184,0,0,3,0,1,0,501302,0,2,0,0,0,0,1,0,0,0,"Nov 2019",18,0,1,0,2
"GLENALTA",0,0,0,0,0,0,"5052",0,0,0,1851,0,0,0,0,0,0,505202,0,0,0,0,0,0,0,0,0,0,"Nov 2019",1,0,1,0,0
"HYDE PARK",0,0,0,0,0,0,"5061",0,0,0,1862,0,0,0,0,1,0,506101,0,0,0,0,0,0,0,0,0,0,"Nov 2019",2,0,1,0,0
"NEWTON",0,1,0,0,2,0,"5074",0,0,1,1874,0,0,0,0,4,0,507402,0,3,0,0,0,3,1,0,0,0,"Nov 2019",30,0,8,0,7
"DERNANCOURT",0,0,0,0,1,0,"5075",0,0,1,1886,0,0,1,0,1,0,507501,0,0,0,0,0,0,0,0,0,0,"Nov 2019",9,0,4,0,1
"PARADISE",0,0,0,0,6,0,"5075",0,0,0,1898,0,0,0,1,0,0,507502,0,4,0,0,0,4,3,0,0,0,"Nov 2019",29,1,1,0,9
"ATHELSTONE",0,1,0,0,1,2,"5076",0,0,0,1910,0,0,0,0,0,0,507601,0,0,0,0,0,0,2,0,1,0,"Nov 2019",12,0,4,0,1
"LOWER MITCHAM",0,0,0,0,1,0,"5062",0,0,0,1922,0,0,1,0,0,0,506205,0,0,0,0,0,0,0,0,1,0,"Nov 2019",5,0,1,0,1
"ROSE PARK",0,0,0,0,0,0,"5067",0,0,0,1938,0,0,1,0,0,0,506704,0,1,0,0,0,0,0,0,0,0,"Nov 2019",6,0,2,0,2
"HEATHPOOL",0,1,0,0,0,0,"5068",0,0,0,1950,0,0,0,0,0,0,506801,0,0,0,0,0,0,0,0,0,0,"Nov 2019",2,0,0,0,1
"KENSINGTON",0,0,0,0,1,0,"5068",0,0,0,1958,0,1,2,0,0,0,506802,0,0,0,0,0,0,1,0,0,0,"Nov 2019",8,0,2,0,1
"PENNINGTON",0,1,0,0,3,1,"5013",0,2,0,196,0,0,0,3,2,0,501303,0,3,0,1,1,0,1,0,0,0,"Nov 2019",30,2,3,0,7
"KENSINGTON PARK",0,0,0,0,0,0,"5068",0,1,0,1981,0,0,0,0,0,0,506804,0,0,0,1,0,0,0,0,0,0,"Nov 2019",5,1,2,0,0
"LEABROOK",0,0,0,0,0,0,"5068",0,0,0,1993,0,0,1,0,0,0,506805,0,0,0,0,1,0,0,0,0,0,"Nov 2019",2,0,0,0,0
"WELLAND",0,0,0,0,2,0,"5007",0,0,0,2,0,0,1,0,1,0,500704,0,0,0,0,1,0,0,0,0,0,"Nov 2019",6,0,1,0,0
"MARRYATVILLE",0,0,0,0,0,0,"5068",0,0,0,2005,0,0,0,1,0,0,506806,0,0,0,0,0,0,0,0,0,0,"Nov 2019",1,0,0,0,0
"ST MORRIS",0,0,0,0,0,0,"5068",0,0,0,2016,0,0,1,0,0,0,506807,0,0,0,0,2,0,1,0,0,0,"Nov 2019",8,2,1,0,1
"TRINITY GARDENS",0,0,0,0,0,0,"5068",0,0,0,2027,0,0,1,1,0,0,506808,0,0,0,0,0,1,0,0,0,0,"Nov 2019",4,0,0,0,1
"COLLEGE PARK",0,0,0,0,1,0,"5069",0,2,0,2038,0,0,2,0,0,0,506901,0,0,0,0,0,0,0,0,0,0,"Nov 2019",10,0,2,0,3
"JOSLIN",0,0,0,0,0,0,"5070",0,0,0,2048,0,0,0,0,0,0,507004,0,0,0,0,0,0,0,0,0,0,"Nov 2019",2,0,1,0,1
"MARDEN",0,0,0,0,1,0,"5070",0,0,0,2057,0,0,1,0,0,0,507005,0,1,0,0,1,0,0,0,0,0,"Nov 2019",11,0,3,0,4
"PAYNEHAM",0,0,0,0,3,1,"5070",0,0,0,2069,0,0,0,1,0,0,507006,0,1,0,0,0,0,0,0,0,0,"Nov 2019",10,0,3,0,1
"ROSEWATER",0,1,0,0,2,1,"5013",0,1,0,208,0,1,3,2,0,0,501304,0,0,0,0,29,0,2,0,0,0,"Nov 2019",53,0,8,0,3
"PAYNEHAM SOUTH",0,0,0,0,0,0,"5070",0,0,0,2081,0,0,0,0,0,0,507007,0,0,0,0,0,0,0,0,0,0,"Nov 2019",4,0,2,0,2
"ROYSTON PARK",0,0,0,0,1,0,"5070",0,0,0,2092,0,0,0,0,0,0,507008,0,0,0,0,0,0,0,0,0,0,"Nov 2019",1,0,0,0,0
"AULDANA",0,0,0,0,0,0,"5072",0,0,0,2102,0,0,0,0,0,0,507201,0,0,0,0,0,1,0,0,0,0,"Nov 2019",1,0,0,0,0
"MAGILL",0,0,0,0,5,0,"5072",0,0,1,2110,0,0,3,0,0,0,507202,0,0,0,0,0,1,0,0,0,0,"Nov 2019",21,2,4,0,5
"ROSSLYN PARK",0,0,0,0,1,0,"5072",0,0,0,2122,0,0,0,0,0,0,507203,0,0,0,0,0,0,0,0,0,0,"Nov 2019",1,0,0,0,0
"EVANDALE",0,0,0,0,1,0,"5069",0,0,0,2132,0,0,1,0,0,0,506902,0,0,0,0,0,1,1,0,0,0,"Nov 2019",11,1,5,0,1
