SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"SEACOMBE GARDENS",0,0,0,0,3,0,"5047",0,0,1,1477,0,0,0,0,0,0,504702,0,2,0,2,0,1,1,0,0,0,"Dec 2019",14,0,1,0,3
"SEACOMBE HEIGHTS",0,0,0,0,0,0,"5047",0,0,0,1489,0,0,0,1,0,0,504703,0,0,0,0,0,0,0,0,0,0,"Dec 2019",1,0,0,0,0
"STURT",0,0,0,0,3,0,"5047",0,0,0,1501,0,0,1,1,0,0,504704,0,2,0,0,0,1,0,0,0,0,"Dec 2019",10,0,0,0,2
"BRIGHTON",0,0,0,0,2,0,"5048",0,0,0,1513,0,1,1,1,1,0,504801,0,0,0,0,0,2,0,0,0,0,"Dec 2019",24,1,13,0,2
"DOVER GARDENS",0,0,0,0,1,0,"5048",0,0,0,1525,0,3,0,1,0,0,504802,0,2,0,0,0,0,0,0,0,0,"Dec 2019",9,0,1,0,1
"HOVE",0,0,0,0,2,0,"5048",0,0,0,1537,0,0,1,0,0,0,504803,0,0,0,0,0,0,1,0,0,0,"Dec 2019",7,0,1,0,2
"NORTH BRIGHTON",0,1,0,0,1,0,"5048",0,0,0,1549,0,0,2,0,1,0,504804,0,0,0,0,0,0,0,0,0,0,"Dec 2019",6,0,1,0,0
"KESWICK TERMINAL",0,0,0,0,0,0,"5035",0,0,0,1561,0,1,0,0,1,0,503506,0,0,0,0,0,0,0,0,0,0,"Dec 2019",2,0,0,0,0
"GLANDORE",0,0,0,0,1,0,"5037",0,0,0,1572,0,0,0,1,0,0,503701,0,0,0,0,0,0,0,0,0,0,"Dec 2019",5,0,1,0,2
"KURRALTA PARK",0,0,0,0,3,0,"5037",0,0,1,1584,0,0,3,0,1,0,503702,0,0,0,0,1,1,1,0,0,0,"Dec 2019",31,0,18,0,2
"BEVERLEY",0,0,0,0,3,0,"5009",0,0,0,159,0,0,0,2,0,0,500902,0,0,0,0,0,5,0,0,0,0,"Dec 2019",16,0,2,0,4
"NETLEY",0,0,0,0,0,0,"5037",0,0,0,1596,0,0,0,0,0,0,503703,0,0,0,0,0,0,0,0,0,0,"Dec 2019",4,0,2,0,2
"MITCHELL PARK",0,1,0,0,5,0,"5043",0,0,0,1607,0,3,7,0,1,0,504303,0,5,0,0,1,1,0,0,1,0,"Dec 2019",47,1,13,0,8
"MORPHETTVILLE",0,0,0,0,0,0,"5043",0,0,0,1619,0,0,0,0,0,0,504304,0,1,0,0,0,0,0,0,0,0,"Dec 2019",2,0,0,0,1
"MORPHETTVILLE",0,0,0,0,5,0,"5043",1,0,0,1620,0,0,1,0,2,0,504304,0,1,0,0,0,0,0,0,0,0,"Dec 2019",23,0,6,0,7
"PARK HOLME",0,0,0,0,3,1,"5043",0,0,0,1632,0,0,0,0,0,0,504305,0,0,0,0,1,0,0,0,0,0,"Dec 2019",13,0,5,0,3
"GLENGOWRIE",0,0,0,0,11,0,"5044",0,1,0,1644,0,0,3,0,2,0,504401,0,2,0,0,1,1,0,0,0,0,"Dec 2019",28,0,5,0,2
"SOMERTON PARK",0,2,1,0,4,0,"5044",0,0,0,1656,0,0,0,0,3,0,504402,0,1,0,0,2,1,0,0,0,0,"Dec 2019",23,0,6,0,3
"GLENELG",0,3,1,1,5,0,"5045",0,0,1,1668,0,0,2,10,21,0,504501,0,2,0,0,8,0,3,0,0,0,"Dec 2019",109,6,41,0,5
"GLENELG EAST",0,0,0,0,5,0,"5045",0,0,0,1680,0,0,3,0,0,1,504502,0,1,0,0,0,0,1,0,0,0,"Dec 2019",16,0,3,0,2
"GLENELG NORTH",0,0,0,0,1,0,"5045",0,0,0,1692,0,0,2,0,2,0,504503,0,2,0,1,0,1,0,0,0,0,"Dec 2019",19,0,8,0,2
"SOUTH BRIGHTON",0,0,0,0,1,0,"5048",0,0,0,1705,0,9,3,0,0,0,504805,0,1,0,0,0,0,1,0,0,0,"Dec 2019",22,0,4,0,3
