SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"EVANDALE",0,0,0,0,1,0,"5069",0,0,0,2136,0,0,1,0,1,0,506902,0,0,0,0,0,0,0,0,0,0,"Jul 2019",4,0,1,0,0
"HACKNEY",0,0,0,0,1,0,"5069",0,0,0,2148,0,1,0,0,0,0,506903,0,0,0,0,0,0,0,0,0,0,"Jul 2019",7,3,0,0,2
"MAYLANDS",0,0,0,0,1,0,"5069",0,0,0,2160,0,0,1,0,0,0,506904,0,0,0,0,0,3,1,0,0,0,"Jul 2019",8,0,1,0,1
"ST PETERS",0,0,0,0,4,0,"5069",0,0,0,2172,0,0,3,0,1,0,506906,0,0,0,0,0,2,1,0,0,0,"Jul 2019",16,0,3,0,2
"STEPNEY",0,0,0,0,1,1,"5069",0,0,0,2184,0,1,0,0,1,0,506905,0,0,0,0,0,0,0,0,0,0,"Jul 2019",10,2,3,0,1
"FELIXSTOW",0,0,0,0,1,0,"5070",0,0,0,2196,0,0,1,1,0,0,507001,0,0,0,0,0,0,0,0,0,0,"Jul 2019",6,1,0,0,2
"FIRLE",0,0,0,0,1,1,"5070",0,0,0,2208,0,0,0,0,0,0,507002,0,0,0,0,0,0,0,0,0,0,"Jul 2019",5,0,0,0,3
"GLYNDE",0,0,0,0,0,0,"5070",0,0,0,2220,0,0,0,0,0,0,507003,0,1,0,0,0,0,0,0,0,0,"Jul 2019",6,0,4,0,1
"MITCHAM",0,0,0,0,0,0,"5062",0,0,0,2232,0,0,1,0,0,0,506207,0,1,0,0,0,0,0,0,0,0,"Jul 2019",3,0,0,0,1
"WINGFIELD",0,0,0,0,5,0,"5013",0,0,0,224,0,0,0,0,1,0,501305,0,1,0,0,0,4,3,0,0,0,"Jul 2019",33,1,14,0,4
"NETHERBY",0,1,0,0,0,0,"5062",0,0,1,2243,0,0,2,0,0,1,506208,0,1,0,0,0,0,1,0,0,0,"Jul 2019",9,0,2,0,0
