SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"GLENELG",0,1,0,0,4,0,"5045",0,0,0,1672,0,0,0,2,9,0,504501,0,1,0,0,0,3,0,0,2,0,"Aug 2019",37,0,8,0,7
"GLENELG EAST",0,0,0,0,1,0,"5045",0,0,0,1684,0,0,3,0,0,0,504502,0,2,0,0,2,0,1,0,0,0,"Aug 2019",15,1,4,0,1
"GLENELG NORTH",0,1,0,0,2,0,"5045",0,0,1,1696,0,0,0,2,0,0,504503,0,0,0,0,0,1,1,0,1,0,"Aug 2019",24,0,8,0,7
"SOUTH BRIGHTON",0,0,0,0,3,0,"5048",0,0,0,1709,0,0,3,0,0,0,504805,0,0,0,0,0,0,2,0,0,0,"Aug 2019",10,0,0,0,2
"KINGSTON PARK",0,0,0,0,0,0,"5049",0,0,0,1720,0,0,0,0,0,0,504901,0,0,0,0,1,0,0,0,0,0,"Aug 2019",1,0,0,0,0
"SEACLIFF",0,0,0,0,0,0,"5049",0,0,0,1741,0,1,0,0,0,0,504903,0,1,0,0,1,0,0,0,0,0,"Aug 2019",7,1,2,0,1
"KILKENNY",0,2,0,1,6,1,"5009",0,0,0,175,0,0,2,2,7,0,500903,0,0,0,0,1,2,1,0,1,0,"Aug 2019",36,0,6,0,4
"SEACLIFF PARK",0,0,0,0,1,0,"5049",0,0,0,1753,0,1,0,1,3,0,504904,0,0,0,0,1,0,0,0,0,0,"Aug 2019",7,0,0,0,0
"SEAVIEW DOWNS",0,0,0,0,1,0,"5049",0,0,0,1765,0,1,0,1,14,0,504905,0,0,0,0,0,0,0,0,0,0,"Aug 2019",28,0,10,0,1
"BELLEVUE HEIGHTS",0,0,0,0,0,0,"5050",0,0,0,1777,0,1,0,0,0,0,505001,0,0,0,0,0,0,0,0,0,0,"Aug 2019",3,1,0,0,1
"EDEN HILLS",0,0,0,0,1,0,"5050",0,0,0,1788,0,0,2,0,0,0,505003,0,0,0,0,0,1,0,0,0,0,"Aug 2019",7,1,1,0,1
"ADELAIDE",0,19,8,1,22,2,"5000",0,22,2,18,0,11,4,51,127,3,500001,0,24,0,5,14,16,21,2,10,0,"Aug 2019",609,8,175,2,60
"BLACKWOOD",0,0,1,0,0,0,"5051",0,0,0,1800,0,1,2,1,1,0,505101,0,0,0,0,2,0,1,0,0,0,"Aug 2019",11,0,2,0,0
"COROMANDEL VALLEY",0,0,0,0,0,0,"5051",0,0,0,1811,0,1,1,0,0,0,505102,0,0,0,0,0,0,0,0,0,0,"Aug 2019",2,0,0,0,0
"CRAIGBURN FARM",0,0,0,0,0,0,"5051",0,0,0,1822,0,0,0,0,0,0,505104,0,1,0,0,0,0,0,0,0,0,"Aug 2019",1,0,0,0,0
"BELAIR",0,0,0,0,0,0,"5052",0,0,0,1842,0,0,0,0,0,0,505201,0,0,0,0,0,0,0,0,0,0,"Aug 2019",1,0,1,0,0
"GLENALTA",0,2,0,0,1,0,"5052",0,0,0,1854,0,0,0,0,0,0,505202,0,1,0,0,0,0,0,0,0,0,"Aug 2019",5,0,1,0,0
"HYDE PARK",0,0,0,0,0,0,"5061",0,1,0,1865,0,0,0,0,1,0,506101,0,0,0,0,0,0,0,0,0,0,"Aug 2019",2,0,0,0,0
"OTTOWAY",0,1,0,0,1,1,"5013",0,0,0,187,0,0,0,0,0,0,501302,0,4,0,0,0,0,1,0,0,0,"Aug 2019",20,4,0,0,8
"NEWTON",0,0,0,0,1,0,"5074",0,0,0,1877,0,1,0,2,2,0,507402,0,0,0,0,0,1,0,0,0,0,"Aug 2019",20,0,11,0,2
"DERNANCOURT",0,0,0,0,2,0,"5075",0,0,0,1889,0,0,2,0,0,0,507501,0,1,0,1,0,0,0,2,0,0,"Aug 2019",15,0,6,0,1
"PARADISE",0,0,0,1,3,0,"5075",0,0,0,1901,0,1,1,3,0,0,507502,0,1,0,0,0,2,1,0,0,0,"Aug 2019",20,0,4,0,3
"ATHELSTONE",0,0,0,0,6,0,"5076",0,0,0,1913,0,0,2,1,0,0,507601,0,1,0,0,0,2,0,0,2,0,"Aug 2019",22,1,2,0,5
"LOWER MITCHAM",0,0,0,0,1,0,"5062",0,0,0,1925,0,0,1,1,0,0,506205,0,0,0,0,0,0,0,0,0,0,"Aug 2019",6,0,2,0,1
"ROSE PARK",0,0,0,0,1,0,"5067",0,0,0,1941,0,0,0,0,1,0,506704,0,0,0,0,0,0,0,0,0,0,"Aug 2019",4,0,1,0,1
"HEATHPOOL",0,0,0,0,0,0,"5068",0,0,0,1952,0,0,0,0,0,0,506801,0,0,0,0,0,0,0,0,0,0,"Aug 2019",2,0,1,0,1
"KENSINGTON",0,0,0,0,0,0,"5068",0,0,0,1961,0,0,0,0,0,0,506802,0,1,0,0,0,2,0,0,0,0,"Aug 2019",9,0,4,0,2
"KENSINGTON GARDENS",0,0,0,0,1,0,"5068",0,0,0,1972,0,0,1,0,0,0,506803,0,0,0,0,0,0,0,0,0,0,"Aug 2019",5,0,1,0,2
"KENSINGTON PARK",0,0,0,0,1,0,"5068",0,0,0,1984,0,0,1,0,0,0,506804,0,0,0,0,1,0,1,0,0,0,"Aug 2019",7,0,2,0,1
"PENNINGTON",0,0,0,0,7,0,"5013",0,1,1,199,0,0,5,1,1,0,501303,0,0,0,0,0,0,0,0,1,0,"Aug 2019",24,0,4,0,3
"LEABROOK",0,0,0,0,1,0,"5068",0,0,0,1996,0,0,1,0,1,0,506805,0,1,0,0,1,0,0,0,0,0,"Aug 2019",6,0,0,0,1
"ST MORRIS",0,0,0,0,0,0,"5068",0,0,0,2019,0,0,0,0,0,0,506807,0,1,0,0,0,0,0,0,0,0,"Aug 2019",1,0,0,0,0
"TRINITY GARDENS",0,0,0,0,0,0,"5068",0,0,0,2030,0,0,0,1,0,0,506808,0,0,0,0,0,1,1,0,0,0,"Aug 2019",4,0,1,0,0
"COLLEGE PARK",0,0,0,0,0,0,"5069",0,0,0,2040,0,0,0,0,0,0,506901,0,0,0,0,0,0,1,0,0,0,"Aug 2019",1,0,0,0,0
"JOSLIN",0,1,0,0,3,0,"5070",0,0,0,2050,0,0,0,0,0,0,507004,0,1,0,0,0,0,0,0,0,0,"Aug 2019",6,0,0,0,1
"MARDEN",0,0,0,0,2,0,"5070",0,0,0,2060,0,2,2,0,2,0,507005,0,3,0,0,0,1,0,0,1,0,"Aug 2019",17,0,1,0,3
"PAYNEHAM",0,0,0,0,3,0,"5070",0,0,0,2072,0,0,1,0,0,0,507006,0,2,0,0,0,3,1,0,0,0,"Aug 2019",15,0,4,0,1
"PAYNEHAM SOUTH",0,0,0,0,0,0,"5070",0,0,0,2084,0,0,1,0,0,0,507007,0,0,0,0,0,0,0,0,0,0,"Aug 2019",2,0,1,0,0
"ROYSTON PARK",0,0,0,0,0,0,"5070",0,0,0,2095,0,0,0,0,1,0,507008,0,0,0,0,0,1,0,0,0,0,"Aug 2019",6,3,1,0,0
"AULDANA",0,0,0,0,0,0,"5072",0,0,0,2104,0,0,0,0,0,0,507201,0,0,0,0,0,0,0,0,0,0,"Aug 2019",1,0,0,0,1
"ROSEWATER",0,1,0,0,5,0,"5013",0,2,0,211,0,0,1,2,1,0,501304,0,1,0,0,1,3,7,0,0,0,"Aug 2019",33,1,6,0,2
"MAGILL",0,0,0,0,5,0,"5072",0,0,0,2113,0,0,1,0,0,0,507202,0,1,0,0,0,1,1,1,2,0,"Aug 2019",24,0,6,0,6
"ROSSLYN PARK",0,0,0,0,2,0,"5072",0,0,0,2125,0,0,0,0,0,0,507203,0,0,0,0,1,0,0,0,0,0,"Aug 2019",4,0,0,0,1
"EVANDALE",0,0,0,0,0,0,"5069",0,0,0,2135,0,0,1,0,0,0,506902,0,0,0,0,0,0,0,0,0,0,"Aug 2019",2,0,1,0,0
"HACKNEY",0,0,0,0,0,0,"5069",0,0,0,2147,0,0,1,0,1,0,506903,0,0,0,0,0,0,1,0,0,0,"Aug 2019",8,0,5,0,0
"MAYLANDS",0,0,0,0,1,0,"5069",0,0,0,2159,0,0,3,0,0,0,506904,0,0,0,0,0,0,0,0,0,0,"Aug 2019",7,0,2,0,1
"ST PETERS",0,0,0,0,1,0,"5069",0,0,0,2171,0,0,0,0,3,0,506906,0,0,0,0,0,0,1,0,0,0,"Aug 2019",10,0,5,0,0
"STEPNEY",0,0,0,0,0,0,"5069",0,0,0,2183,0,0,0,0,4,0,506905,0,0,0,0,1,0,0,0,0,0,"Aug 2019",10,0,3,0,2
"FELIXSTOW",0,0,0,0,0,0,"5070",0,0,1,2195,0,0,1,0,3,0,507001,0,2,0,0,0,1,1,0,0,0,"Aug 2019",11,0,2,0,0
"FIRLE",0,0,0,0,1,0,"5070",0,0,0,2207,0,0,0,0,0,0,507002,0,0,0,0,0,0,0,0,0,0,"Aug 2019",2,0,0,0,1
"GLYNDE",0,0,0,0,2,0,"5070",0,0,0,2219,0,0,1,0,0,0,507003,0,0,0,0,0,2,0,0,1,0,"Aug 2019",11,1,2,0,2
"WINGFIELD",0,0,0,0,3,2,"5013",0,1,0,223,0,0,1,1,1,0,501305,0,0,0,0,1,2,1,0,0,0,"Aug 2019",24,2,6,0,3
"MITCHAM",0,0,0,0,0,0,"5062",0,0,0,2231,0,0,0,0,0,0,506207,0,0,0,0,0,0,0,0,0,0,"Aug 2019",4,0,2,0,2
"TORRENS PARK",0,0,0,0,0,0,"5062",0,0,0,2261,0,0,0,0,6,0,506210,0,0,0,0,0,0,0,0,0,0,"Aug 2019",9,0,3,0,0
"EASTWOOD",0,1,0,0,1,0,"5063",0,0,0,2273,0,0,0,0,0,0,506301,0,3,0,0,0,0,1,0,0,0,"Aug 2019",8,0,0,0,2
"FREWVILLE",0,0,0,0,0,0,"5063",0,0,0,2286,0,0,0,0,2,0,506302,0,0,0,0,0,1,0,0,0,0,"Aug 2019",8,0,3,0,2
"FULLARTON",0,0,0,0,2,0,"5063",0,0,0,2298,0,0,0,1,0,0,506303,0,2,0,0,0,1,0,0,0,0,"Aug 2019",11,0,5,0,0
"HIGHGATE",0,1,0,0,0,0,"5063",0,0,0,2309,0,0,1,0,0,0,506304,0,0,0,0,0,0,0,0,0,0,"Aug 2019",2,0,0,0,0
"PARKSIDE",0,0,0,0,1,0,"5063",0,0,0,2320,0,0,1,0,0,0,506305,0,1,0,0,0,0,0,0,0,0,"Aug 2019",13,2,5,0,3
"GLEN OSMOND",0,0,0,0,2,0,"5064",0,0,1,2332,0,0,0,0,0,0,506401,0,1,0,0,0,0,0,0,0,0,"Aug 2019",8,0,3,0,1
"GLENUNGA",0,0,0,0,3,0,"5064",0,0,0,2344,0,0,1,0,1,0,506402,0,0,0,0,1,0,0,0,0,0,"Aug 2019",9,0,3,0,0
"MYRTLE BANK",0,0,0,0,0,0,"5064",0,0,0,2358,0,0,0,0,0,0,506404,0,0,0,0,0,0,0,0,0,0,"Aug 2019",2,0,1,0,1
"ALBERT PARK",0,0,0,0,1,0,"5014",0,0,0,236,0,0,0,0,1,0,501402,0,0,0,0,0,0,0,0,0,0,"Aug 2019",6,1,1,0,2
"ST GEORGES",0,0,0,0,0,0,"5064",0,0,0,2368,0,0,0,0,0,0,506405,0,0,0,0,0,0,0,0,0,0,"Aug 2019",1,0,1,0,0
"URRBRAE",0,0,0,0,0,0,"5064",0,0,0,2376,0,0,1,0,0,0,506406,0,0,0,0,0,0,0,0,0,0,"Aug 2019",1,0,0,0,0
"DULWICH",0,0,0,0,0,0,"5065",0,0,0,2386,0,0,0,0,0,0,506501,0,0,0,0,0,0,0,0,0,0,"Aug 2019",2,0,2,0,0
