SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"LYNTON",0,0,0,0,0,0,"5062",0,0,0,1936,0,0,0,0,0,0,506206,0,1,0,0,0,0,0,0,0,0,"Jan 2020",1,0,0,0,0
"OTTOWAY",0,3,0,0,2,0,"5013",0,0,0,194,0,0,0,0,0,0,501302,0,3,0,0,0,0,0,0,0,0,"Jan 2020",16,1,0,0,7
"ROSE PARK",0,0,0,0,0,0,"5067",0,0,0,1948,0,0,1,0,0,0,506704,0,0,0,0,0,2,0,0,0,0,"Jan 2020",10,0,3,0,4
"HEATHPOOL",0,0,0,0,1,0,"5068",0,0,0,1956,0,0,0,0,0,0,506801,0,0,0,0,0,0,0,0,0,0,"Jan 2020",2,1,0,0,0
"KENSINGTON",0,0,0,0,1,0,"5068",0,0,0,1968,0,1,2,0,1,0,506802,0,1,0,0,0,0,0,0,0,0,"Jan 2020",19,2,6,0,5
"KENSINGTON GARDENS",0,1,0,0,0,0,"5068",0,0,0,1979,0,0,1,0,0,0,506803,0,0,0,0,0,0,0,0,0,0,"Jan 2020",8,0,5,0,1
"KENSINGTON PARK",0,0,0,0,0,0,"5068",0,0,0,1991,0,0,3,0,0,0,506804,0,0,0,0,0,2,0,0,0,0,"Jan 2020",10,0,4,0,1
"LEABROOK",0,0,0,0,2,0,"5068",0,0,0,2003,0,0,0,0,0,0,506805,0,1,0,0,0,0,1,0,0,0,"Jan 2020",6,0,1,0,1
"MARRYATVILLE",0,0,0,0,0,0,"5068",0,0,0,2014,0,0,0,0,0,0,506806,0,0,0,0,0,0,0,0,0,0,"Jan 2020",1,0,1,0,0
"ST MORRIS",0,0,0,0,0,0,"5068",0,0,0,2025,0,0,0,0,0,0,506807,0,0,0,0,0,0,0,0,0,0,"Jan 2020",3,0,2,0,1
"TRINITY GARDENS",0,0,0,0,1,0,"5068",0,0,0,2037,0,0,0,0,2,0,506808,0,0,0,0,0,1,1,0,0,0,"Jan 2020",11,0,5,0,1
"COLLEGE PARK",0,0,0,0,2,0,"5069",0,0,0,2046,0,0,0,0,0,0,506901,0,0,0,0,0,2,0,0,0,0,"Jan 2020",4,0,0,0,0
"JOSLIN",0,0,0,0,0,0,"5070",0,0,0,2055,0,0,0,0,0,0,507004,0,1,0,0,0,0,0,0,0,0,"Jan 2020",2,0,1,0,0
"PENNINGTON",0,1,0,0,9,1,"5013",0,3,0,206,0,0,3,1,1,0,501303,0,2,0,0,1,1,1,0,0,0,"Jan 2020",39,1,6,0,8
"MARDEN",0,0,0,0,0,1,"5070",0,0,0,2067,0,1,0,0,0,0,507005,0,0,0,0,0,2,0,0,0,0,"Jan 2020",14,1,2,0,7
"PAYNEHAM",0,0,0,0,0,0,"5070",0,0,0,2079,0,0,0,0,0,0,507006,0,1,0,0,0,2,0,0,0,0,"Jan 2020",10,2,2,0,3
"PAYNEHAM SOUTH",0,0,0,0,0,0,"5070",0,0,0,2090,0,0,2,1,0,0,507007,0,1,0,0,0,0,1,0,0,0,"Jan 2020",5,0,0,0,0
"ROYSTON PARK",0,0,0,0,1,0,"5070",0,0,0,2101,0,0,0,0,1,0,507008,0,0,0,0,0,0,0,0,0,0,"Jan 2020",6,0,2,0,2
"MAGILL",0,0,0,0,4,0,"5072",0,0,0,2120,0,0,6,0,0,0,507202,0,4,0,0,1,2,0,0,0,0,"Jan 2020",27,0,6,0,4
"ROSSLYN PARK",0,0,0,0,0,0,"5072",0,0,0,2130,0,0,0,0,0,0,507203,0,1,0,0,0,0,0,0,0,0,"Jan 2020",1,0,0,0,0
"EVANDALE",0,0,0,0,1,0,"5069",0,0,0,2142,0,0,0,0,0,0,506902,0,0,0,0,0,0,1,0,0,0,"Jan 2020",8,1,5,0,0
"HACKNEY",0,0,0,0,0,0,"5069",0,0,0,2154,0,1,1,0,1,0,506903,0,0,0,0,0,0,1,0,0,0,"Jan 2020",6,0,1,0,1
"MAYLANDS",0,0,0,0,0,0,"5069",0,0,0,2166,0,0,1,0,0,0,506904,0,0,0,0,0,0,2,0,0,0,"Jan 2020",4,0,1,0,0
"ST PETERS",0,0,0,0,2,0,"5069",1,0,0,2178,0,0,0,0,3,0,506906,0,0,0,0,0,2,1,0,0,0,"Jan 2020",12,0,1,0,2
"ROSEWATER",0,0,0,0,7,1,"5013",0,2,0,218,0,0,4,0,5,0,501304,0,3,0,0,2,1,1,0,0,0,"Jan 2020",48,3,13,0,6
"STEPNEY",0,0,0,0,1,0,"5069",0,0,0,2190,0,0,0,0,2,0,506905,0,0,0,0,0,0,0,0,0,0,"Jan 2020",13,0,7,0,3
"FELIXSTOW",0,0,0,0,3,0,"5070",0,0,0,2202,0,1,0,1,0,0,507001,0,1,0,0,0,2,0,0,0,0,"Jan 2020",13,1,3,0,1
"FIRLE",0,2,0,0,0,0,"5070",0,0,0,2214,0,0,0,0,2,0,507002,0,0,0,0,0,0,1,0,0,0,"Jan 2020",7,0,1,0,1
"GLYNDE",0,1,0,0,0,0,"5070",0,0,0,2226,0,0,1,1,0,1,507003,0,1,0,0,0,0,0,0,0,0,"Jan 2020",10,1,3,0,1
"MITCHAM",0,0,0,0,0,0,"5062",0,0,0,2238,0,0,2,0,0,0,506207,0,0,0,0,0,0,0,0,0,0,"Jan 2020",2,0,0,0,0
"NETHERBY",0,0,0,0,0,0,"5062",0,0,0,2249,0,0,0,0,0,0,506208,0,0,0,0,2,0,0,0,0,0,"Jan 2020",7,0,4,0,1
"TORRENS PARK",0,0,0,0,0,0,"5062",0,0,0,2268,0,0,2,0,2,0,506210,0,0,0,0,0,0,0,0,0,0,"Jan 2020",9,1,2,0,2
