SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"SEAVIEW DOWNS",0,0,0,0,0,0,"5049",0,0,0,1768,0,0,0,0,1,0,504905,0,0,0,0,0,0,0,0,0,0,"May 2020",11,0,8,0,2
"KILKENNY",0,0,0,0,1,0,"5009",0,0,0,178,0,1,0,0,5,1,500903,0,2,0,0,2,2,1,0,0,0,"May 2020",25,1,5,0,4
"BELLEVUE HEIGHTS",0,0,0,0,1,0,"5050",0,0,0,1780,0,0,0,0,0,0,505001,0,0,0,0,1,0,0,0,0,0,"May 2020",2,0,0,0,0
"EDEN HILLS",0,0,0,0,2,0,"5050",0,0,0,1791,0,1,1,0,0,0,505003,0,0,0,0,0,0,0,0,0,0,"May 2020",5,0,0,0,1
"BLACKWOOD",0,0,0,0,0,0,"5051",0,0,0,1803,0,0,0,0,0,0,505101,0,1,0,0,0,1,0,0,0,0,"May 2020",4,0,2,0,0
"COROMANDEL VALLEY",0,0,0,0,0,0,"5051",0,0,0,1813,0,0,0,0,0,0,505102,0,2,0,0,0,1,0,1,0,0,"May 2020",5,0,1,0,0
"CRAIGBURN FARM",0,0,0,0,0,0,"5051",0,0,0,1825,0,0,1,0,0,0,505104,0,0,0,0,0,0,0,0,0,0,"May 2020",3,0,2,0,0
"BELAIR",0,0,0,0,2,0,"5052",0,1,0,1845,0,2,0,0,0,0,505201,0,0,0,0,0,0,0,0,0,0,"May 2020",9,0,2,0,2
"GLENALTA",0,0,0,0,1,0,"5052",0,0,0,1857,0,0,0,0,0,0,505202,0,0,0,0,0,0,0,0,0,0,"May 2020",1,0,0,0,0
"HYDE PARK",0,0,0,0,0,0,"5061",0,0,0,1868,0,0,1,0,0,0,506101,0,0,0,0,0,0,0,0,0,0,"May 2020",2,0,0,0,1
"NEWTON",0,0,0,0,0,0,"5074",0,0,0,1880,0,0,0,0,5,0,507402,0,1,0,0,0,1,0,0,0,0,"May 2020",25,3,7,0,8
"DERNANCOURT",0,1,0,0,1,0,"5075",0,0,0,1892,0,0,0,0,0,0,507501,0,1,0,0,0,1,0,0,0,0,"May 2020",9,0,5,0,0
"OTTOWAY",0,0,0,0,2,1,"5013",0,0,0,190,0,0,0,0,0,0,501302,0,0,0,0,0,0,1,0,0,0,"May 2020",9,0,4,0,1
"PARADISE",0,2,0,0,0,0,"5075",0,1,0,1904,0,0,1,0,0,0,507502,0,8,0,1,0,0,0,0,0,0,"May 2020",19,1,3,0,2
"ATHELSTONE",0,0,0,0,0,0,"5076",0,0,0,1916,0,0,0,0,0,0,507601,0,0,0,0,0,0,0,0,1,0,"May 2020",5,0,3,0,1
"LOWER MITCHAM",0,0,0,0,0,0,"5062",0,0,0,1928,0,0,0,0,0,0,506205,0,0,0,0,0,0,0,0,0,0,"May 2020",3,2,0,0,1
"ROSE PARK",0,0,0,0,0,0,"5067",0,0,0,1944,0,0,0,0,2,0,506704,0,0,0,0,0,0,0,0,0,0,"May 2020",3,0,1,0,0
"KENSINGTON",0,0,0,0,1,0,"5068",0,0,0,1964,0,0,1,1,0,0,506802,0,0,0,0,0,0,0,0,0,0,"May 2020",7,1,1,0,2
"KENSINGTON GARDENS",0,0,0,0,1,0,"5068",0,0,0,1975,0,0,0,0,0,0,506803,0,0,0,0,0,0,0,0,0,0,"May 2020",2,0,0,0,1
"KENSINGTON PARK",0,0,0,0,0,0,"5068",0,0,0,1987,0,0,0,0,0,0,506804,0,0,0,0,0,1,0,0,0,0,"May 2020",4,0,0,0,3
"LEABROOK",0,0,0,0,0,0,"5068",0,0,0,1999,0,0,0,0,0,0,506805,0,0,0,0,0,0,0,0,1,0,"May 2020",4,0,2,0,1
"MARRYATVILLE",0,0,0,0,0,0,"5068",0,0,0,2010,0,0,0,0,1,0,506806,0,0,0,0,0,0,0,0,0,0,"May 2020",2,0,0,0,1
"PENNINGTON",0,0,0,0,3,0,"5013",0,1,0,202,0,0,1,2,3,0,501303,0,2,0,0,1,3,0,0,0,0,"May 2020",21,0,3,0,2
"ST MORRIS",0,1,0,0,0,0,"5068",0,0,0,2022,0,0,0,0,0,0,506807,0,0,0,0,0,1,0,0,0,0,"May 2020",3,0,0,0,1
"TRINITY GARDENS",0,1,0,0,0,0,"5068",0,1,0,2033,0,0,0,0,0,0,506808,0,0,0,0,0,0,0,0,0,0,"May 2020",7,0,4,0,1
"JOSLIN",0,0,0,0,0,0,"5070",0,0,0,2053,0,0,0,0,0,0,507004,0,0,0,0,0,2,0,0,0,0,"May 2020",3,0,1,0,0
"MARDEN",0,0,0,0,1,0,"5070",0,0,0,2063,0,0,0,0,3,0,507005,0,0,0,0,0,0,1,0,1,0,"May 2020",9,1,2,0,0
"PAYNEHAM",0,0,0,0,0,0,"5070",0,0,1,2075,0,2,1,0,0,0,507006,0,1,0,0,0,0,1,0,0,0,"May 2020",9,0,1,0,2
"ADELAIDE",0,14,2,1,7,1,"5000",0,23,1,21,0,16,6,7,75,4,500001,0,43,0,7,6,10,13,3,3,0,"May 2020",367,11,79,0,35
"AULDANA",0,0,0,0,0,0,"5072",0,0,0,2105,0,0,0,0,0,0,507201,0,0,0,0,0,0,0,0,0,0,"May 2020",1,0,1,0,0
"MAGILL",0,0,0,0,2,0,"5072",0,0,0,2116,0,0,1,0,0,0,507202,0,0,0,0,2,1,0,0,0,0,"May 2020",12,0,2,0,4
"ROSSLYN PARK",0,1,0,0,0,0,"5072",0,0,0,2127,0,0,0,0,0,0,507203,0,0,0,0,0,0,0,0,0,0,"May 2020",2,0,0,0,1
"EVANDALE",0,0,0,0,1,0,"5069",0,0,0,2138,0,0,0,0,0,0,506902,0,0,0,0,0,0,0,0,0,0,"May 2020",3,0,2,0,0
"ROSEWATER",0,1,0,0,4,0,"5013",0,1,0,214,0,0,2,0,10,0,501304,0,3,0,0,0,1,0,0,0,0,"May 2020",32,1,6,0,3
"HACKNEY",0,1,0,0,0,0,"5069",0,0,0,2150,0,0,0,0,0,0,506903,0,2,0,0,0,0,0,0,0,0,"May 2020",12,1,4,0,4
"MAYLANDS",0,0,0,0,0,0,"5069",0,0,0,2162,0,0,0,0,0,0,506904,0,1,0,0,0,0,0,0,0,0,"May 2020",12,2,5,0,4
"ST PETERS",0,0,0,0,0,0,"5069",0,2,0,2174,0,1,0,0,0,0,506906,0,0,0,0,0,0,1,0,0,0,"May 2020",7,1,2,0,0
"STEPNEY",0,0,0,0,1,0,"5069",0,0,0,2186,0,1,0,0,3,0,506905,0,0,0,0,0,0,0,0,0,0,"May 2020",7,1,1,0,0
"FELIXSTOW",0,0,0,0,2,0,"5070",0,0,0,2198,0,0,0,0,1,0,507001,0,1,0,0,0,1,0,0,0,0,"May 2020",11,1,4,0,1
"FIRLE",0,0,0,0,0,0,"5070",0,0,0,2210,0,0,0,0,1,0,507002,0,0,0,0,0,0,0,0,0,0,"May 2020",5,1,2,0,1
"GLYNDE",0,0,0,0,0,0,"5070",0,0,0,2222,0,1,0,0,1,0,507003,0,1,0,0,0,0,1,0,0,0,"May 2020",6,0,1,0,1
"MITCHAM",0,0,0,0,0,0,"5062",0,0,0,2234,0,0,0,0,0,0,506207,0,0,0,0,0,0,0,0,0,0,"May 2020",1,0,1,0,0
"NETHERBY",0,1,0,0,0,0,"5062",0,0,0,2245,0,0,0,0,0,0,506208,0,0,0,0,0,1,0,0,0,0,"May 2020",3,0,1,0,0
"SPRINGFIELD",0,0,0,0,0,0,"5062",0,0,0,2253,0,0,0,0,0,0,506209,0,0,0,0,0,0,0,0,0,0,"May 2020",2,0,0,0,2
"WINGFIELD",0,0,2,0,2,0,"5013",0,1,0,226,0,0,0,0,1,0,501305,0,0,0,0,0,0,1,0,0,0,"May 2020",11,0,1,0,3
"TORRENS PARK",0,0,0,0,1,0,"5062",0,0,0,2264,0,0,1,0,1,0,506210,0,1,0,0,0,2,0,0,0,0,"May 2020",7,0,1,0,0
"EASTWOOD",0,0,0,0,3,0,"5063",0,0,0,2276,0,0,3,0,0,0,506301,0,0,0,1,0,0,1,0,0,0,"May 2020",11,0,3,0,0
"FREWVILLE",0,0,0,0,1,0,"5063",0,0,0,2289,0,0,0,0,2,0,506302,0,0,0,0,0,1,0,0,0,0,"May 2020",8,0,2,0,2
"FULLARTON",0,0,0,0,3,0,"5063",0,1,0,2301,0,0,1,0,0,0,506303,0,0,0,1,0,0,1,0,0,0,"May 2020",25,8,8,0,2
"PARKSIDE",0,0,0,0,2,0,"5063",0,1,0,2323,0,0,1,0,0,0,506305,0,0,0,0,1,1,2,0,0,0,"May 2020",22,0,10,0,4
"GLEN OSMOND",0,0,0,0,0,0,"5064",0,1,1,2335,0,0,1,0,3,0,506401,0,1,0,0,0,0,0,0,0,0,"May 2020",12,1,0,0,4
"GLENUNGA",0,0,0,0,0,0,"5064",0,0,0,2347,0,1,1,0,0,0,506402,0,0,0,0,0,1,0,1,0,0,"May 2020",8,1,2,0,1
"MYRTLE BANK",0,0,0,0,0,0,"5064",0,0,0,2361,0,0,3,0,0,0,506404,0,0,0,0,0,0,0,0,0,0,"May 2020",9,0,6,0,0
"ST GEORGES",0,0,0,0,1,0,"5064",0,0,0,2370,0,0,0,0,0,0,506405,0,0,0,0,0,0,0,0,0,0,"May 2020",1,0,0,0,0
"DULWICH",0,0,0,0,1,0,"5065",0,0,0,2389,0,0,0,0,0,0,506501,0,1,0,0,0,1,0,0,0,0,"May 2020",4,0,0,0,1
"ALBERT PARK",0,0,0,0,0,0,"5014",0,0,0,239,0,0,0,1,0,0,501402,0,0,0,0,0,0,0,0,0,0,"May 2020",3,0,1,0,1
"GLENSIDE",0,0,0,0,1,0,"5065",0,0,0,2401,0,0,0,0,2,0,506502,0,3,0,0,0,0,0,0,0,0,"May 2020",13,0,4,0,3
"LINDEN PARK",0,0,0,0,0,0,"5065",0,0,0,2413,0,0,1,0,0,0,506503,0,1,0,0,0,0,0,0,0,0,"May 2020",2,0,0,0,0
"TOORAK GARDENS",0,0,0,0,3,0,"5065",0,0,0,2425,0,0,0,0,0,0,506504,0,0,0,0,0,0,0,0,0,0,"May 2020",8,1,1,0,3
"TUSMORE",0,0,0,0,0,0,"5065",0,0,0,2435,0,0,0,0,0,0,506505,0,0,0,0,0,0,0,0,0,0,"May 2020",1,0,1,0,0
"ERINDALE",0,0,0,0,0,0,"5066",0,0,0,2465,0,0,0,0,0,0,506603,0,0,0,0,0,0,0,0,0,0,"May 2020",3,0,2,0,1
"HAZELWOOD PARK",0,0,0,0,1,0,"5066",0,0,0,2477,0,0,0,0,1,0,506604,0,0,0,0,0,0,0,0,0,0,"May 2020",3,0,1,0,0
"STONYFELL",0,0,0,0,0,0,"5066",0,0,0,2487,0,0,0,0,0,0,506605,0,0,0,0,0,0,0,0,0,0,"May 2020",1,0,1,0,0
"WATTLE PARK",0,0,0,0,0,1,"5066",0,0,0,2496,0,0,1,0,0,0,506607,0,1,0,0,0,0,0,0,0,0,"May 2020",5,0,2,0,0
"BEULAH PARK",0,0,0,0,1,0,"5067",0,0,0,2507,0,0,1,0,0,0,506701,0,1,0,0,0,0,0,0,0,0,"May 2020",3,0,0,0,0
"ALBERTON",0,1,0,0,1,0,"5014",0,0,0,251,0,1,1,0,0,0,501401,0,1,0,0,0,0,0,0,0,0,"May 2020",10,0,2,0,3
"KENT TOWN",0,0,0,0,0,0,"5067",0,1,0,2519,0,0,0,0,1,0,506702,0,0,0,0,1,2,1,0,0,0,"May 2020",6,0,0,0,0
"NORWOOD",0,0,0,0,2,0,"5067",0,0,0,2531,0,0,0,2,5,0,506703,0,0,0,0,0,1,1,0,0,0,"May 2020",21,0,8,0,2
"BEDFORD PARK",0,0,0,0,0,0,"5042",0,0,0,2543,0,0,0,0,0,0,504201,0,1,0,1,1,1,0,0,0,0,"May 2020",7,0,1,0,2
"CLOVELLY PARK",0,0,0,0,0,0,"5042",0,0,0,2548,0,0,0,0,0,0,504202,0,0,0,0,0,0,1,0,0,0,"May 2020",1,0,0,0,0
"CLOVELLY PARK",0,0,0,0,1,0,"5042",0,1,1,2556,0,0,1,0,0,0,504202,0,2,0,0,0,0,0,0,0,0,"May 2020",8,0,1,0,1
"PASADENA",0,1,0,0,2,0,"5042",0,0,0,2568,0,1,0,0,4,0,504203,0,2,0,0,0,1,0,0,0,0,"May 2020",12,0,0,0,1
"ST MARYS",0,1,0,0,2,0,"5042",0,0,0,2580,0,0,0,0,4,0,504204,0,1,0,0,1,1,0,0,0,0,"May 2020",21,0,9,0,2
"TONSLEY",0,0,0,0,0,0,"5042",0,0,0,2592,0,0,0,0,0,0,504205,0,0,0,0,0,0,0,0,0,0,"May 2020",1,0,0,0,1
"ASCOT PARK",0,1,0,0,1,1,"5043",0,0,0,2603,0,1,2,0,4,0,504301,0,0,0,0,0,0,0,0,1,0,"May 2020",14,0,2,0,1
"MARION",0,0,0,0,0,0,"5043",0,0,0,2615,0,1,1,0,2,0,504302,0,3,0,0,0,1,0,0,0,0,"May 2020",10,0,1,0,1
"PARA VISTA",0,1,0,0,2,1,"5093",0,1,1,2627,0,0,2,1,0,0,509301,0,0,0,0,0,0,2,1,2,0,"May 2020",20,0,3,0,3
"CHELTENHAM",0,1,0,0,1,0,"5014",0,1,0,263,0,0,1,0,0,0,501403,0,0,0,0,0,0,0,0,0,0,"May 2020",7,0,1,0,2
"VALLEY VIEW",0,1,0,0,0,1,"5093",0,0,0,2639,0,0,1,2,4,0,509302,0,1,0,0,0,1,0,1,0,0,"May 2020",16,0,0,0,4
"CAVAN",0,0,0,0,0,0,"5094",0,0,0,2651,0,0,0,0,1,0,509401,0,0,0,0,0,0,0,0,0,0,"May 2020",3,0,1,0,1
"DRY CREEK",0,0,2,0,0,0,"5094",0,0,0,2663,0,11,0,0,0,0,509402,0,0,0,0,0,1,0,0,0,0,"May 2020",21,1,4,0,2
"GEPPS CROSS",0,0,0,0,0,0,"5094",0,0,0,2675,0,0,0,1,3,0,509403,0,5,0,0,2,0,1,0,0,0,"May 2020",16,2,2,0,0
